"articles","sex","married","kidsUnder5","prestige","mentorArticles"
0,"Male","Married",0,2.52,7
0,"Female","Single",0,2.05,6
0,"Female","Single",0,3.75,6
0,"Male","Married",1,1.18,3
0,"Female","Single",0,3.75,26
0,"Female","Married",2,3.59,2
0,"Female","Single",0,3.19,3
0,"Male","Married",2,2.96,4
0,"Male","Single",0,4.62,6
0,"Female","Married",0,1.25,0
0,"Male","Single",0,2.96,14
0,"Female","Single",0,0.75,13
0,"Female","Married",1,3.69,3
0,"Female","Married",0,3.4,4
0,"Female","Married",0,1.79,0
0,"Female","Single",0,3.09,1
0,"Female","Married",0,2,7
0,"Male","Married",2,4.29,13
0,"Female","Single",0,3.36,7
0,"Female","Single",0,4.29,9
0,"Female","Married",0,2.26,6
0,"Male","Married",3,2.96,3
0,"Male","Married",1,4.29,5
0,"Male","Married",1,2.86,4
0,"Male","Married",3,2.76,1
0,"Female","Married",0,1.52,3
0,"Female","Married",1,3.54,8
0,"Male","Married",1,4.29,3
0,"Female","Single",0,3.09,0
0,"Male","Married",0,2.32,3
0,"Female","Single",0,2.39,0
0,"Male","Married",0,4.29,8
0,"Female","Single",0,1.5,13
0,"Male","Single",0,2.1,0
0,"Male","Married",1,1.52,0
0,"Female","Single",0,2,0
0,"Female","Single",0,1.75,0
0,"Male","Single",0,4.29,9
0,"Male","Married",1,1.22,2
0,"Female","Married",0,3.75,5
0,"Male","Single",0,4.29,9
0,"Female","Married",1,2.86,3
0,"Male","Single",0,3.92,5
0,"Female","Married",1,3.36,3
0,"Male","Single",0,2.1,6
0,"Male","Married",1,1.18,0
0,"Male","Married",0,2.5,1
0,"Male","Married",0,3.36,25
0,"Female","Single",0,4.54,14
0,"Female","Married",0,3.92,8
0,"Male","Single",0,4.54,5
0,"Female","Married",2,1.97,0
0,"Male","Married",2,2.96,12
0,"Male","Married",0,4.29,8
0,"Male","Married",1,2.26,2
0,"Female","Single",0,2.12,11
0,"Female","Single",0,3.21,2
0,"Male","Married",1,3.15,1
0,"Male","Married",1,3.92,1
0,"Male","Single",0,2.96,0
0,"Female","Single",0,2.86,6
0,"Male","Married",1,2.1,0
0,"Female","Single",0,3.75,4
0,"Female","Married",0,3.54,2
0,"Female","Married",0,2.54,1
0,"Male","Married",1,2.76,3
0,"Male","Married",0,4.54,10
0,"Male","Married",0,1.68,6
