"Newspaper","Daily","Sunday"
"BaltimoreSun",391.952,488.506
"BostonGlobe",516.981,798.298
"BostonHerald",355.628,235.084
"CharlotteObserver",238.555,299.451
"ChicagoSunTimes",537.78,559.093
"ChicagoTribune",733.775,1133.249
"CincinnatiEnquirer",198.832,348.744
"DenverPost",252.624,417.779
"DesMoinesRegister",206.204,344.522
"HartfordCourant",231.177,323.084
"HoustonChronicle",449.755,620.752
"KansasCityStar",288.571,423.305
"LosAngelesDailyNews",185.736,202.614
"LosAngelesTimes",1164.388,1531.527
"MiamiHerald",444.581,553.479
"MinneapolisStarTribune",412.871,685.975
"NewOrleansTimesPicayune",272.28,324.241
"NewYorkDailyNews",781.796,983.24
"NewYorkTimes",1209.225,1762.015
"Newsday",825.512,960.308
"OmahaWorldHerald",223.748,284.611
"OrangeCountyRegister",354.843,407.76
"PhiladelphiaInquirer",515.523,982.663
"PittsburghPress",220.465,557
"PortlandOregonian",337.672,440.923
"ProvidenceJournalBulletin",197.12,268.06
"RochesterDemocratChronicle",133.239,262.048
"RockyMountainNews",374.009,432.502
"SacramentoBee",273.844,338.355
"SanFranciscoChronicle",570.364,704.322
"StLouisPostDispatch",391.286,585.681
"StPaulPioneerPress",201.86,267.781
"TampaTribune",321.626,408.343
"WashingtonPost",838.902,1165.567
